@relation train_abalone10-0
@attribute 'x0' numeric
@attribute 'x1' numeric
@attribute 'x2' numeric
@attribute 'x3' numeric
@attribute 'x4' numeric
@attribute 'x5' numeric
@attribute 'x6' numeric
@attribute 'x7' numeric
@attribute 'x8' numeric
@attribute 'x9' numeric
@attribute 'Class' {'y0','y1','y2','y3','y4','y5','y6','y7','y8','y9'}
@data
-0.7594,-0.67475,1.45328,-3.28073,-3.10239,-2.61831,-1.66346,-1.59877,-1.62017,-1.68697,'y0'
-0.7594,-0.67475,1.45328,-2.78111,-2.69933,-2.61831,-1.62573,-1.56273,-1.60192,-1.64028,'y0'
-0.7594,-0.67475,1.45328,-2.98929,-2.90086,-2.14016,-1.64715,-1.58525,-1.60648,-1.61513,'y0'
-0.7594,-0.67475,1.45328,-2.57294,-2.59857,-2.02062,-1.60636,-1.55146,-1.56543,-1.62591,'y0'
-0.7594,-0.67475,1.45328,-2.03169,-1.99397,-1.30338,-1.47279,-1.44334,-1.37841,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-2.78111,-2.64895,-2.37924,-1.61248,-1.54471,-1.58824,-1.60795,'y0'
-0.7594,-0.67475,1.45328,-2.98929,-3.00163,-2.85739,-1.65122,-1.58976,-1.62473,-1.67979,'y0'
-0.7594,-0.67475,1.45328,-2.73948,-2.74971,-2.37924,-1.62369,-1.55822,-1.60192,-1.64746,'y0'
-0.7594,-0.67475,1.45328,-3.03092,-3.00163,-2.73785,-1.6502,-1.58525,-1.60192,-1.6726,'y0'
-0.7594,-0.67475,1.45328,-2.48967,-2.39703,-1.662,-1.57475,-1.51092,-1.52894,-1.60077,'y0'
-0.7594,-0.67475,1.45328,-2.23987,-2.14512,-2.02062,-1.54213,-1.49064,-1.49245,-1.56485,'y0'
-0.7594,-0.67475,1.45328,-2.07333,-2.09474,-2.02062,-1.50134,-1.44784,-1.45596,-1.52893,'y0'
-0.7594,-0.67475,1.45328,-1.74025,-1.74205,-1.54246,-1.42793,-1.38927,-1.3921,-1.42476,'y0'
1.31652,-0.67475,-0.68794,-2.98929,-2.85048,-2.37924,-1.64001,-1.57624,-1.60648,-1.65824,'y0'
-0.7594,-0.67475,1.45328,-2.2815,-2.29627,-1.78154,-1.52581,-1.46361,-1.47876,-1.56125,'y0'
-0.7594,-0.67475,1.45328,-2.19823,-2.04435,-1.662,-1.49217,-1.43207,-1.4742,-1.4966,'y0'
1.31652,-0.67475,-0.68794,-2.32314,-2.29627,-1.78154,-1.56048,-1.50866,-1.52438,-1.57203,'y0'
-0.7594,-0.67475,1.45328,-2.90602,-2.85048,-2.14016,-1.64205,-1.583,-1.61561,-1.65824,'y0'
-0.7594,-0.67475,1.45328,-2.23987,-2.1955,-1.54246,-1.51358,-1.46361,-1.46052,-1.53611,'y0'
-0.7594,-0.67475,1.45328,-2.57294,-2.54818,-1.90108,-1.58291,-1.52443,-1.49701,-1.60795,'y0'
-0.7594,-0.67475,1.45328,-2.36477,-2.34665,-2.02062,-1.54621,-1.50641,-1.51982,-1.56485,'y0'
-0.7594,-0.67475,1.45328,-1.69862,-1.69167,-1.18384,-1.3688,-1.30367,-1.40578,-1.4104,'y0'
-0.7594,-0.67475,1.45328,-0.86593,-0.88554,-0.58614,-0.92323,-0.85765,-0.80823,-0.99733,'y0'
-0.7594,-0.67475,1.45328,-1.53208,-1.43976,-1.42292,-1.27907,-1.21357,-1.2142,-1.3206,'y0'
-0.7594,-0.67475,1.45328,-1.15737,-1.28861,-1.18384,-1.22503,-1.15725,-1.26438,-1.24517,'y0'
-0.7594,-0.67475,1.45328,-1.0741,-1.38937,-0.94476,-1.08127,-0.96803,-1.09104,-1.12664,'y0'
-0.7594,-0.67475,1.45328,-1.03247,-1.18784,-0.94476,-1.14448,-1.07616,-1.0956,-1.16615,'y0'
-0.7594,-0.67475,1.45328,-1.32391,-1.54052,-1.42292,-1.28519,-1.26538,-1.3328,-1.33497,'y0'
-0.7594,-0.67475,1.45328,-0.69939,-0.68401,-0.82522,-0.93751,-0.88018,-0.91771,-0.98655,'y0'
-0.7594,-0.67475,1.45328,-2.61458,-2.39703,-2.2597,-1.59311,-1.53344,-1.54719,-1.62232,'y0'
-0.7594,-0.67475,1.45328,-1.99006,-1.99397,-2.02062,-1.48401,-1.43207,-1.49245,-1.47505,'y0'
-0.7594,-0.67475,1.45328,-2.82275,-2.74971,-2.37924,-1.63491,-1.57174,-1.59736,-1.65105,'y0'
-0.7594,-0.67475,1.45328,-1.94843,-1.99397,-1.662,-1.4626,-1.40279,-1.46052,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-2.23987,-2.1955,-1.90108,-1.5146,-1.43883,-1.47876,-1.53611,'y0'
1.31652,-0.67475,-0.68794,-1.24064,-1.03669,-1.18384,-1.02825,-0.99056,-1.13209,-1.03325,'y0'
-0.7594,1.48167,-0.68794,-1.94843,-1.84282,-1.54246,-1.40448,-1.38702,-1.43315,-1.42836,'y0'
1.31652,-0.67475,-0.68794,-2.90602,-2.74971,-2.37924,-1.62777,-1.56948,-1.57912,-1.64387,'y0'
-0.7594,-0.67475,1.45328,-2.2815,-2.29627,-1.90108,-1.54111,-1.4929,-1.49245,-1.55407,'y0'
-0.7594,-0.67475,1.45328,-1.36554,-1.49014,-1.42292,-1.32393,-1.28565,-1.36017,-1.28468,'y0'
-0.7594,-0.67475,1.45328,-1.24064,-1.43976,-1.0643,-1.29029,-1.2361,-1.26438,-1.29546,'y0'
-0.7594,-0.67475,1.45328,-2.44804,-2.39703,-2.14016,-1.57373,-1.50191,-1.52894,-1.60077,'y0'
-0.7594,-0.67475,1.45328,-2.78111,-2.8001,-2.2597,-1.63593,-1.5785,-1.60192,-1.65105,'y0'
-0.7594,-0.67475,1.45328,-1.44881,-1.43976,-1.0643,-1.28417,-1.29016,-1.20052,-1.28468,'y0'
-0.7594,-0.67475,1.45328,-1.0741,-1.08708,-1.18384,-1.10778,-0.99506,-1.07736,-1.16256,'y0'
-0.7594,-0.67475,1.45328,-2.11496,-2.1955,-1.90108,-1.48809,-1.41856,-1.49245,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-1.36554,-1.28861,-1.42292,-1.33209,-1.25412,-1.18683,-1.21284,'y0'
1.31652,-0.67475,-0.68794,-2.11496,-2.09474,-1.42292,-1.44425,-1.40955,-1.3921,-1.42836,'y0'
-0.7594,-0.67475,1.45328,-1.90679,-1.94359,-1.30338,-1.42895,-1.39829,-1.33736,-1.42836,'y0'
-0.7594,-0.67475,1.45328,-2.07333,-2.04435,-1.54246,-1.46464,-1.41631,-1.38753,-1.46427,'y0'
-0.7594,-0.67475,1.45328,-1.53208,-1.49014,-1.42292,-1.28213,-1.25862,-1.14122,-1.3206,'y0'
-0.7594,-0.67475,1.45328,-2.2815,-2.1955,-1.90108,-1.53397,-1.45685,-1.54262,-1.5397,'y0'
-0.7594,-0.67475,1.45328,-1.44881,-1.38937,-1.18384,-1.27091,-1.28115,-1.12297,-1.27031,'y0'
-0.7594,-0.67475,1.45328,-1.03247,-0.98631,-0.94476,-1.06597,-1.03336,-1.10016,-1.04043,'y0'
1.31652,-0.67475,-0.68794,-0.90756,-1.03669,-0.94476,-1.02723,-0.91622,-1.18683,-1.06198,'y0'
-0.7594,-0.67475,1.45328,-2.23987,-2.1955,-2.14016,-1.52072,-1.48614,-1.4514,-1.52174,'y0'
-0.7594,-0.67475,1.45328,-1.28227,-1.18784,-1.0643,-1.18221,-1.14824,-1.11841,-1.23439,'y0'
-0.7594,-0.67475,1.45328,-1.24064,-1.28861,-1.18384,-1.25154,-1.2406,-1.10016,-1.3206,'y0'
-0.7594,-0.67475,1.45328,-0.69939,-0.63363,-0.22752,-0.77335,-0.67744,-0.88578,-0.75308,'y0'
-0.7594,1.48167,-0.68794,-0.65776,-0.73439,-0.70568,-0.8019,-0.70673,-0.64858,-0.85725,'y0'
-0.7594,1.48167,-0.68794,-0.49122,-0.58325,-0.34706,-0.70708,-0.58283,-0.68051,-0.92908,'y0'
1.31652,-0.67475,-0.68794,-0.36632,-0.33133,-0.58614,-0.31045,-0.17511,-0.67595,-0.49447,'y0'
-0.7594,-0.67475,1.45328,-2.07333,-2.14512,-1.78154,-1.47381,-1.37576,-1.46508,-1.51456,'y0'
-0.7594,-0.67475,1.45328,-1.28227,-1.28861,-0.94476,-1.23931,-1.09418,-1.40578,-1.25954,'y0'
-0.7594,-0.67475,1.45328,-1.24064,-1.33899,-0.94476,-1.21586,-1.09418,-1.26438,-1.24876,'y0'
-0.7594,-0.67475,1.45328,-1.65698,-1.84282,-1.54246,-1.40652,-1.3645,-1.3556,-1.06917,'y0'
-0.7594,-0.67475,1.45328,-1.24064,-1.33899,-1.0643,-1.18731,-1.12346,-1.26894,-1.15896,'y0'
-0.7594,-0.67475,1.45328,-1.28227,-1.38937,-1.0643,-1.21688,-1.0221,-1.2735,-1.2739,'y0'
-0.7594,-0.67475,1.45328,-0.99083,-1.08708,-0.82522,-1.07005,-0.96353,-1.09104,-1.13741,'y0'
-0.7594,-0.67475,1.45328,-0.99083,-1.08708,-1.18384,-1.14142,-1.155,-1.0363,-0.92549,'y0'
-0.7594,-0.67475,1.45328,-1.94843,-1.99397,-1.90108,-1.44628,-1.36675,-1.43315,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-1.94843,-1.99397,-1.78154,-1.49217,-1.4501,-1.44683,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-1.99006,-1.94359,-1.662,-1.47076,-1.38927,-1.44227,-1.52174,'y0'
-0.7594,-0.67475,1.45328,-0.86593,-0.93593,-0.58614,-0.96605,-0.7653,-1.05455,-1.09072,'y0'
-0.7594,-0.67475,1.45328,-1.19901,-1.28861,-1.30338,-1.13225,-1.10094,-1.09104,-1.10509,'y0'
1.31652,-0.67475,-0.68794,-1.36554,-1.38937,-1.18384,-1.23625,-1.24511,-1.16402,-1.17692,'y0'
-0.7594,-0.67475,1.45328,-1.61535,-1.43976,-1.18384,-1.32291,-1.31269,-1.31911,-1.28468,'y0'
-0.7594,-0.67475,1.45328,-2.07333,-2.04435,-1.42292,-1.49421,-1.45685,-1.47876,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-1.78189,-1.84282,-1.54246,-1.37389,-1.3262,-1.30999,-1.4535,'y0'
-0.7594,-0.67475,1.45328,-0.69939,-0.83516,-0.94476,-0.84064,-0.78557,-0.85841,-0.92549,'y0'
-0.7594,1.48167,-0.68794,-0.53285,-0.58325,-0.58614,-0.75194,-0.70673,-0.63033,-0.8788,'y0'
-0.7594,1.48167,-0.68794,0.05003,0.12212,0.7288,-0.00151,0.22811,0.25003,-0.63455,'y0'
-0.7594,-0.67475,1.45328,-1.61535,-1.69167,-1.54246,-1.35758,-1.2834,-1.34648,-1.37089,'y0'
-0.7594,-0.67475,1.45328,-1.40718,-1.23822,-1.0643,-1.22605,-1.18879,-1.2142,-1.20207,'y0'
-0.7594,-0.67475,1.45328,-0.8243,-0.78478,-0.58614,-1.02417,-1.0266,-0.94507,-0.97578,'y0'
-0.7594,-0.67475,1.45328,-0.53285,-0.38171,-0.4666,-0.60206,-0.4274,-0.66226,-0.74949,'y0'
-0.7594,-0.67475,1.45328,-1.53208,-1.64129,-1.30338,-1.27907,-1.16626,-1.30087,-1.33497,'y0'
-0.7594,-0.67475,1.45328,-0.99083,-1.08708,-1.18384,-1.10166,-0.99732,-1.06823,-1.16615,'y0'
-0.7594,-0.67475,1.45328,-1.78189,-1.79244,-1.662,-1.43609,-1.39153,-1.40578,-1.44272,'y0'
-0.7594,-0.67475,1.45328,-0.9492,-1.03669,-1.0643,-1.15468,-1.16852,-1.17771,-1.06917,'y0'
-0.7594,-0.67475,1.45328,-0.86593,-0.88554,-0.70568,-1.05986,-1.10094,-1.05911,-1.03684,'y0'
1.31652,-0.67475,-0.68794,-1.44881,-1.43976,-1.18384,-1.22809,-1.17077,-1.12297,-1.24876,'y0'
-0.7594,1.48167,-0.68794,-1.15737,-1.08708,-0.94476,-1.13429,-1.11671,-1.12753,-1.141,'y0'
-0.7594,-0.67475,1.45328,-1.44881,-1.43976,-1.42292,-1.29844,-1.25412,-1.22332,-1.33497,'y0'
-0.7594,-0.67475,1.45328,-0.90756,-0.98631,-0.82522,-0.95688,-0.86666,-0.89034,-1.05839,'y0'
-0.7594,-0.67475,1.45328,-2.03169,-1.99397,-1.78154,-1.46362,-1.42757,-1.38753,-1.50019,'y0'
-0.7594,-0.67475,1.45328,-1.03247,-1.08708,-0.70568,-1.08127,-0.99957,-0.99981,-1.17692,'y0'
-0.7594,-0.67475,1.45328,-0.49122,-0.63363,-0.82522,-0.87123,-0.52877,-1.3328,-0.93268,'y0'
-0.7594,-0.67475,1.45328,-1.61535,-1.79244,-1.30338,-1.34432,-1.26313,-1.41034,-1.35293,'y0'
-0.7594,-0.67475,1.45328,-1.03247,-0.98631,-0.58614,-1.04966,-0.92298,-1.10473,-1.09072,'y0'
-0.7594,-0.67475,1.45328,-1.82352,-1.79244,-1.54246,-1.39327,-1.35098,-1.36929,-1.35652,'y0'
1.31652,-0.67475,-0.68794,-1.19901,-1.38937,-1.0643,-1.24338,-1.24285,-1.17771,-1.21284,'y1'
-0.7594,-0.67475,1.45328,-2.4064,-2.34665,-1.78154,-1.56456,-1.52668,-1.46508,-1.57921,'y1'
-0.7594,-0.67475,1.45328,-0.90756,-0.98631,-1.0643,-0.99664,-0.80359,-1.12753,-1.11945,'y1'
-0.7594,-0.67475,1.45328,-1.61535,-1.64129,-1.78154,-1.3953,-1.35774,-1.3556,-1.35293,'y1'
-0.7594,-0.67475,1.45328,-1.03247,-1.08708,-0.58614,-1.0415,-1.01759,-0.98613,-1.04402,'y1'
-0.7594,-0.67475,1.45328,-0.69939,-0.58325,-0.70568,-0.91405,-0.90946,-0.83104,-0.88957,'y1'
-0.7594,1.48167,-0.68794,-0.15815,-0.07942,-0.34706,-0.50112,-0.51075,-0.46156,-0.45855,'y1'
-0.7594,-0.67475,1.45328,-1.44881,-1.49014,-1.0643,-1.2597,-1.23159,-1.13666,-1.22721,'y1'
-0.7594,1.48167,-0.68794,-1.82352,-1.79244,-1.42292,-1.37185,-1.31494,-1.3328,-1.37089,'y1'
-0.7594,-0.67475,1.45328,-1.28227,-1.28861,-1.0643,-1.14856,-1.0694,-1.17315,-1.141,'y1'
-0.7594,-0.67475,1.45328,-0.99083,-1.08708,-0.4666,-1.02927,-1.04913,-1.00893,-0.92549,'y1'
-0.7594,-0.67475,1.45328,-1.32391,-1.38937,-1.30338,-1.27193,-1.26763,-1.20508,-1.21284,'y1'
-0.7594,-0.67475,1.45328,-1.61535,-1.59091,-0.82522,-1.34025,-1.32395,-1.32824,-1.28468,'y1'
-0.7594,1.48167,-0.68794,-0.74103,-0.83516,-0.70568,-0.80598,-0.81711,-0.74893,-0.60222,'y1'
-0.7594,-0.67475,1.45328,-1.36554,-1.33899,-1.0643,-1.24746,-1.2406,-1.25069,-1.06917,'y1'
-0.7594,-0.67475,1.45328,-1.28227,-1.33899,-0.94476,-1.22197,-1.22033,-1.22332,-1.21284,'y1'
-0.7594,-0.67475,1.45328,-1.65698,-1.59091,-1.42292,-1.33107,-1.35098,-1.32367,-1.26313,'y1'
-0.7594,-0.67475,1.45328,-0.65776,-0.73439,-0.94476,-0.69178,-0.38235,-0.86297,-0.9219,'y1'
-0.7594,-0.67475,1.45328,-1.57372,-1.59091,-1.54246,-1.31782,-1.30142,-1.24613,-1.3206,'y1'
-0.7594,-0.67475,1.45328,-1.53208,-1.59091,-1.662,-1.23625,-1.1505,-1.25981,-1.3206,'y1'
-0.7594,-0.67475,1.45328,-1.28227,-1.28861,-1.0643,-1.10574,-0.941,-1.01806,-1.1446,'y1'
-0.7594,-0.67475,1.45328,-0.78266,-0.83516,-0.94476,-0.94668,-0.90946,-0.8949,-0.96141,'y1'
-0.7594,-0.67475,1.45328,-0.61612,-0.48248,-0.22752,-0.71523,-0.75854,-0.48893,-0.73153,'y1'
-0.7594,1.48167,-0.68794,-0.32468,-0.38171,-0.58614,-0.71421,-0.72024,-0.7763,-0.789,'y1'
1.31652,-0.67475,-0.68794,0.05003,-0.02903,-0.34706,-0.36143,-0.39587,-0.18331,-0.37952,'y1'
1.31652,-0.67475,-0.68794,0.3831,0.52518,0.7288,0.15245,0.21685,0.11774,-0.17838,'y1'
-0.7594,-0.67475,1.45328,-1.15737,-1.18784,-1.42292,-1.18323,-1.0694,-1.19595,-1.24876,'y1'
-0.7594,-0.67475,1.45328,-0.69939,-0.78478,-0.70568,-0.93445,-0.92298,-0.88121,-0.85365,'y1'
-0.7594,-0.67475,1.45328,-0.65776,-0.68401,0.1311,-0.80496,-0.74277,-0.82192,-0.78182,'y1'
-0.7594,-0.67475,1.45328,-0.53285,-0.58325,-0.58614,-0.84268,-0.8081,-0.75349,-0.87161,'y1'
-0.7594,-0.67475,1.45328,-0.40795,-0.58325,-0.94476,-0.76315,-0.64365,-0.6349,-0.88957,'y1'
-0.7594,1.48167,-0.68794,0.42474,0.52518,0.1311,0.33801,0.48041,0.44161,0.18799,'y1'
1.31652,-0.67475,-0.68794,0.50801,0.57556,0.48972,0.25848,0.45112,0.50547,0.18799,'y1'
-0.7594,-0.67475,1.45328,-1.32391,-1.43976,-1.30338,-1.25562,-1.1933,-1.20052,-1.28468,'y1'
-0.7594,-0.67475,1.45328,-0.9492,-0.73439,-0.70568,-1.01703,-0.91172,-1.00437,-0.49447,'y1'
-0.7594,-0.67475,1.45328,-0.8243,-0.83516,-0.70568,-1.0099,-0.83963,-1.23701,-0.99733,'y1'
-0.7594,-0.67475,1.45328,-0.8243,-0.88554,-0.94476,-1.06699,-1.05138,-1.10016,-0.95423,'y1'
-0.7594,-0.67475,1.45328,-0.53285,-0.48248,-0.82522,-0.7397,-0.61662,-0.74437,-0.92549,'y1'
-0.7594,-0.67475,1.45328,-1.24064,-1.28861,-1.30338,-1.0466,-0.77656,-1.22788,-1.23439,'y1'
-0.7594,-0.67475,1.45328,-0.57449,-0.73439,-0.10798,-0.66833,-0.3846,-0.73981,-0.95063,'y1'
-0.7594,-0.67475,1.45328,-1.36554,-1.33899,-1.54246,-1.24033,-1.17527,-1.24613,-1.24158,'y1'
-0.7594,-0.67475,1.45328,-1.32391,-1.38937,-1.30338,-1.23625,-1.1978,-1.16859,-1.24158,'y1'
-0.7594,-0.67475,1.45328,-1.11574,-1.08708,-1.18384,-1.17609,-1.13923,-1.16402,-1.141,'y1'
-0.7594,-0.67475,1.45328,-1.11574,-1.23822,-0.94476,-1.11695,-1.04462,-1.08192,-1.16256,'y1'
1.31652,-0.67475,-0.68794,-0.40795,-0.48248,-0.94476,-0.81617,-0.73376,-0.74437,-0.91112,'y1'
