@relation train_housing10-2
@attribute 'x0' numeric
@attribute 'x1' numeric
@attribute 'x2' numeric
@attribute 'x3' numeric
@attribute 'x4' numeric
@attribute 'x5' numeric
@attribute 'x6' numeric
@attribute 'x7' numeric
@attribute 'x8' numeric
@attribute 'x9' numeric
@attribute 'x10' numeric
@attribute 'x11' numeric
@attribute 'x12' numeric
@attribute 'Class' {'y0','y1','y2','y3','y4','y5','y6','y7','y8','y9'}
@data
4.89826,-0.48724,1.01499,-0.27233,1.19354,-2.51294,1.11639,-1.01478,1.6596,1.52941,0.80578,-2.93997,3.40663,'y0'
1.53441,-0.48724,1.01499,-0.27233,1.25395,-1.43412,1.04889,-1.12501,1.6596,1.52941,0.80578,0.44062,2.54261,'y0'
2.207,-0.48724,1.01499,-0.27233,1.25395,-1.82836,0.74337,-1.08118,1.6596,1.52941,0.80578,0.44062,2.70785,'y0'
0.83946,-0.48724,1.01499,-0.27233,1.07273,0.70788,0.78956,-0.93818,1.6596,1.52941,0.80578,-3.67057,1.83963,'y0'
-0.39598,-0.48724,2.42017,-0.27233,0.46864,-1.69599,1.04534,-0.93671,-0.63733,1.79642,0.75959,-0.41891,2.38437,'y0'
1.42379,-0.48724,1.01499,-0.27233,1.07273,-0.55312,0.95297,-0.8954,1.6596,1.52941,0.80578,-3.82271,1.64358,'y0'
0.95317,-0.48724,1.01499,-0.27233,1.40929,0.76765,0.28154,-0.95029,1.6596,1.52941,0.80578,-3.37614,1.41253,'y0'
1.17009,-0.48724,1.01499,-0.27233,1.59914,-0.49762,0.68653,-0.93766,1.6596,1.52941,0.80578,-3.15159,2.99212,'y0'
4.40801,-0.48724,1.01499,-0.27233,1.19354,-1.07261,0.59772,-1.03891,1.6596,1.52941,0.80578,-0.29809,2.06229,'y0'
0.66562,-0.48724,1.01499,-0.27233,1.07273,0.13573,0.96008,-0.86757,1.6596,1.52941,0.80578,-3.24174,1.60017,'y0'
1.25643,-0.48724,1.01499,-0.27233,1.59914,0.25101,0.87837,-0.85123,1.6596,1.52941,0.80578,-3.60572,0.75576,'y0'
0.92592,-0.48724,1.01499,-0.27233,1.25395,-1.77712,1.00981,-0.96169,1.6596,1.52941,0.80578,0.44062,1.82423,'y0'
1.24631,-0.48724,1.01499,-0.27233,1.25395,-1.99915,1.11639,-1.04741,1.6596,1.52941,0.80578,0.17795,2.516,'y0'
1.00374,-0.48724,1.01499,-0.27233,0.2529,-0.6371,-0.31528,-0.8536,1.6596,1.52941,0.80578,-3.63683,0.42528,'y0'
1.06827,-0.48724,1.01499,-0.27233,1.59914,-0.6129,0.9956,-0.90204,1.6596,1.52941,0.80578,-1.2723,1.55956,'y0'
3.9584,-0.48724,1.01499,-0.27233,1.07273,-0.11761,0.3597,-0.91757,1.6596,1.52941,0.80578,-3.70069,0.26144,'y0'
0.43639,-0.48724,1.01499,-0.27233,1.07273,-0.13042,0.33838,-0.88305,1.6596,1.52941,0.80578,-2.8473,1.24168,'y0'
0.64796,-0.48724,1.01499,-0.27233,1.25395,-1.06549,1.11639,-1.05173,1.6596,1.52941,0.80578,0.44062,1.53296,'y0'
0.5276,-0.48724,1.01499,-0.27233,1.25395,-1.27329,1.07731,-0.98159,1.6596,1.52941,0.80578,0.44062,1.14786,'y0'
0.60205,-0.48724,1.01499,-0.27233,0.2529,-1.02422,0.07194,-0.82231,1.6596,1.52941,0.80578,-3.86686,0.63113,'y0'
