@relation train_stock10-2
@attribute 'x0' numeric
@attribute 'x1' numeric
@attribute 'x2' numeric
@attribute 'x3' numeric
@attribute 'x4' numeric
@attribute 'x5' numeric
@attribute 'x6' numeric
@attribute 'x7' numeric
@attribute 'x8' numeric
@attribute 'Class' {'y0','y1','y2','y3','y4','y5','y6','y7','y8','y9'}
@data
-1.84173,0.44338,0.29136,-0.62029,-0.08662,0.45243,-0.65309,-2.07707,0.82803,'y0'
-1.78941,0.54226,0.1998,-0.41964,0.06199,0.70103,-0.69,-2.16124,0.71094,'y0'
-1.92445,0.57522,0.01667,-0.41964,8.0E-4,0.40723,-0.43162,-1.44579,1.06222,'y0'
-1.79954,0.5093,0.10824,-0.37505,0.06199,0.88183,-0.72691,-2.07707,0.65239,'y0'
-1.14896,0.47634,0.9323,-1.13305,0.2106,1.04003,-1.0591,-1.23536,-0.81127,'y0'
-1.1025,0.49831,0.9323,-1.08846,0.14941,0.97223,-0.91146,-1.15119,-0.48927,'y0'
-1.75307,0.5093,0.47449,-0.17441,0.02703,1.04003,-0.61618,-2.16124,0.88658,'y0'
-1.088,0.5093,0.88652,-1.06617,0.12318,0.92703,-0.8561,-1.15119,-0.48927,'y0'
-1.90409,0.44338,0.47449,-0.70946,-0.07787,0.31683,-1.09602,-2.2875,0.76949,'y0'
-1.86199,0.65213,0.33714,-0.24129,0.07948,0.36203,-0.37626,-1.4037,1.06222,'y0'
-1.75892,0.55325,0.33714,-0.24129,0.08822,1.06263,-0.61618,-1.9929,0.82803,'y0'
-1.11411,0.5093,1.11543,-1.11076,0.25431,1.06263,-0.96683,-1.27745,-0.72345,'y0'
-1.0459,0.66312,1.25277,-0.84323,0.24557,1.04003,-0.56081,-0.77242,-0.48927,'y0'
-1.75307,0.57522,0.15402,-0.26359,0.07073,0.99483,-0.56081,-1.86664,0.74021,'y0'
-1.48011,0.80594,0.38293,-0.53111,0.07948,0.74623,-1.00374,-1.6983,0.06693,'y0'
-1.29999,0.79496,0.42871,-0.9547,-0.09536,0.83663,-1.35439,-1.57204,0.18402,'y0'
-1.06188,0.61917,0.74918,-1.08846,0.15815,1.10783,-0.83764,-1.19328,-0.25508,'y0'
-1.78941,0.66312,0.47449,-0.24129,0.12318,0.67843,-0.1917,-1.65621,1.26713,'y0'
-1.10835,0.48733,1.02387,-1.13305,0.14941,0.99483,-0.94837,-1.19328,-0.57709,'y0'
-1.81115,0.60818,0.42871,-0.26359,0.07073,0.56543,-0.32089,-1.6983,1.12077,'y0'
-1.67611,0.78397,0.06246,-0.06294,0.03577,0.92703,-0.48699,-1.90873,0.06693,'y0'
-1.1025,0.52029,0.74918,-0.9547,0.12318,0.99483,-0.87455,-1.23536,-0.75273,'y0'
-1.06188,0.5093,0.97808,-1.02158,0.11444,0.99483,-0.76382,-1.06702,-0.3429,'y0'
